DATE,MONTH,DAY,LAPS,TIME,CONDITION_CATEGORY,CUMULATIVE_TIME,AVG_PACE_MIN_KM,AVG_HR_BPM,MAX_HR_BPM,TOTAL_ASCENT_M,TOTAL_DESCENT_M,AVG_RUN_CADENCE_SPM,AVG_STRIDE_LENGTH_M,CALORIES_C,BEST_PACE_MIN_KM,MAX_RUN_CADENCE_SPM,MOVING_TIME,AVG_MOVING_PACE_MIN_KM
2026-06-10,6,10,5.0,7.816666666666666,0,47.1,7.816666666666666,147.0,161.0,36.0,36.0,155.0,0.82,71.0,6.116666666666666,176.0,7.816666666666666,7.816666666666666
2026-06-12,6,12,5.0,9.833333333333334,0,48.82,9.833333333333334,134.0,159.0,43.0,33.0,136.0,0.74,67.0,6.866666666666666,170.0,9.833333333333334,9.833333333333334
2026-06-14,6,14,5.0,9.283333333333333,0,54.64,9.283333333333333,134.0,152.0,34.0,38.0,140.0,0.77,70.0,6.85,168.0,9.283333333333333,9.283333333333333
2026-06-16,6,16,5.0,8.283333333333333,0,57.34,8.3,147.0,158.0,10.0,5.0,155.0,0.78,74.0,6.4,171.0,8.283333333333333,8.3
2026-06-18,6,18,5.0,7.683333333333334,0,51.9,7.7,150.0,166.0,33.0,37.0,159.0,0.82,71.0,6.266666666666667,169.0,7.683333333333334,7.7
2026-06-21,6,21,5.0,6.516666666666667,1,37.7,6.516666666666667,173.0,177.0,1.0,0.0,165.0,0.93,78.0,5.733333333333333,173.0,6.516666666666667,6.516666666666667
2026-04-30,4,30,6.0,11.65,0,68.56,11.65,132.0,154.0,29.0,19.0,121.0,0.71,65.0,6.766666666666667,170.0,11.65,11.65
2026-05-03,5,3,6.0,7.983333333333333,0,59.12,7.983333333333333,160.0,170.0,48.0,45.0,161.0,0.78,80.0,6.783333333333333,170.0,7.983333333333333,7.983333333333333
2026-05-10,5,10,6.0,7.366666666666666,1,52.06,7.366666666666666,173.0,177.0,3.0,5.0,162.0,0.84,85.0,6.816666666666666,168.0,7.366666666666666,7.366666666666666
2026-05-17,5,17,6.0,8.866666666666667,0,60.94,8.866666666666667,151.0,158.0,26.0,27.0,153.0,0.74,81.0,8.433333333333334,163.0,8.866666666666667,8.866666666666667
2026-05-24,5,24,6.0,15.433333333333334,0,63.9,15.433333333333334,117.0,155.0,40.0,32.0,101.0,0.64,61.0,8.15,153.0,15.433333333333334,15.433333333333334
2026-06-07,6,7,6.0,8.15,0,53.06,8.166666666666666,159.0,178.0,32.0,19.0,149.0,0.82,87.0,4.616666666666666,192.0,8.15,8.166666666666666
2026-06-10,6,10,6.0,9.65,0,58.68,9.65,138.0,156.0,34.0,44.0,137.0,0.76,69.0,6.1,173.0,9.516666666666667,9.516666666666667
2026-06-12,6,12,6.0,18.883333333333333,0,71.48,18.883333333333333,100.0,118.0,50.0,60.0,69.0,0.77,61.0,10.266666666666667,125.0,14.616666666666667,14.616666666666667
2026-06-14,6,14,6.0,10.15,0,66.8,10.15,129.0,149.0,27.0,12.0,133.0,0.74,69.0,6.583333333333333,178.0,10.15,10.15
2026-06-16,6,16,6.0,11.5,0,71.12,11.5,127.0,151.0,5.0,5.0,123.0,0.71,69.0,6.183333333333334,238.0,11.383333333333333,11.383333333333333
2026-06-18,6,18,6.0,7.333333333333333,0,60.72,7.333333333333333,156.0,165.0,36.0,32.0,160.0,0.85,74.0,6.35,171.0,7.333333333333333,7.333333333333333
2026-06-21,6,21,6.0,6.75,1,45.82,6.766666666666667,175.0,178.0,6.0,2.0,163.0,0.91,84.0,5.916666666666667,170.0,6.75,6.75
2026-04-30,4,30,7.0,8.766666666666667,0,79.08,8.783333333333333,149.0,158.0,8.0,9.0,156.0,0.73,76.0,7.233333333333333,169.0,8.766666666666667,8.783333333333333
2026-05-03,5,3,7.0,7.35,0,67.96,7.366666666666666,165.0,173.0,13.0,14.0,161.0,0.84,79.0,6.216666666666667,177.0,7.35,7.35
2026-05-10,5,10,7.0,7.616666666666666,1,61.2,7.633333333333334,172.0,179.0,3.0,5.0,155.0,0.85,90.0,6.5,166.0,7.5,7.5
2026-05-17,5,17,7.0,8.616666666666667,0,71.28,8.633333333333333,148.0,162.0,15.0,22.0,152.0,0.76,74.0,6.433333333333334,173.0,8.616666666666667,8.633333333333333
2026-05-24,5,24,7.0,13.516666666666667,0,80.12,13.533333333333333,111.0,146.0,35.0,49.0,105.0,0.71,56.0,6.733333333333333,168.0,12.333333333333334,12.333333333333334
2026-06-07,6,7,7.0,7.333333333333333,0,61.88,7.35,163.0,176.0,5.0,13.0,162.0,0.84,80.0,5.666666666666667,179.0,7.333333333333333,7.35
2026-06-10,6,10,7.0,8.883333333333333,0,69.36,8.9,133.0,152.0,7.0,5.0,142.0,0.79,63.0,4.516666666666667,180.0,8.883333333333333,8.9
2026-06-12,6,12,7.0,15.383333333333333,0,89.92,15.383333333333333,100.0,121.0,5.0,7.0,94.0,0.69,61.0,11.666666666666666,123.0,13.45,13.45
2026-06-14,6,14,7.0,6.6,0,74.72,6.6,147.0,164.0,5.0,15.0,164.0,0.92,67.0,5.133333333333334,184.0,6.6,6.6
2026-06-16,6,16,7.0,9.3,0,82.3,9.3,135.0,160.0,3.0,6.0,138.0,0.78,68.0,5.616666666666666,231.0,9.3,9.3
2026-06-18,6,18,7.0,7.7,0,69.96,7.716666666666667,154.0,166.0,28.0,32.0,157.0,0.82,73.0,6.616666666666666,169.0,7.7,7.716666666666667
2026-06-21,6,21,7.0,7.65,1,55.02,7.666666666666667,169.0,176.0,9.0,7.0,150.0,0.87,88.0,6.316666666666666,168.0,7.6,7.6
2026-04-30,4,30,8.0,7.933333333333334,0,88.6,7.933333333333334,158.0,168.0,40.0,40.0,159.0,0.79,79.0,6.583333333333333,171.0,7.933333333333334,7.933333333333334
2026-05-03,5,3,8.0,7.866666666666666,0,77.4,7.866666666666666,166.0,175.0,45.0,43.0,159.0,0.8,85.0,5.75,173.0,7.866666666666666,7.866666666666666
2026-05-10,5,10,8.0,7.766666666666667,1,70.54,7.766666666666667,172.0,175.0,1.0,0.0,159.0,0.81,91.0,7.116666666666666,165.0,7.766666666666667,7.766666666666667
2026-05-17,5,17,8.0,11.016666666666667,0,84.52,11.016666666666667,133.0,152.0,11.0,5.0,128.0,0.71,65.0,7.966666666666667,159.0,11.016666666666667,11.016666666666667
2026-05-24,5,24,8.0,8.216666666666667,0,89.98,8.216666666666667,144.0,149.0,4.0,6.0,157.0,0.78,69.0,7.033333333333333,167.0,8.216666666666667,8.216666666666667
2026-06-07,6,7,8.0,8.533333333333333,0,72.14,8.55,160.0,172.0,17.0,15.0,148.0,0.79,81.0,6.383333333333334,170.0,8.45,8.45
2026-06-10,6,10,8.0,9.933333333333334,0,81.28,9.933333333333334,128.0,152.0,0.0,0.0,136.0,0.74,61.0,5.45,220.0,9.933333333333334,9.933333333333334
2026-06-12,6,12,8.0,7.566666666666666,0,99.02,7.566666666666666,137.0,147.0,5.0,5.0,157.0,0.84,70.0,6.25,167.0,7.566666666666666,7.566666666666666
2026-06-14,6,14,8.0,7.633333333333334,0,83.9,7.65,156.0,166.0,6.0,4.0,157.0,0.83,76.0,6.1,170.0,7.633333333333334,7.633333333333334
2026-06-16,6,16,8.0,8.55,0,92.56,8.566666666666666,144.0,161.0,4.0,0.0,144.0,0.81,71.0,5.05,228.0,8.483333333333333,8.483333333333333
2026-06-18,6,18,8.0,9.166666666666666,0,80.98,9.166666666666666,145.0,159.0,46.0,43.0,136.0,0.8,74.0,6.716666666666667,228.0,9.166666666666666,9.166666666666666
2026-06-21,6,21,8.0,8.416666666666666,1,65.14,8.433333333333334,164.0,174.0,0.0,4.0,138.0,0.86,94.0,6.1,175.0,7.7,7.7
2026-04-30,4,30,9.0,10.283333333333333,0,100.94,10.283333333333333,149.0,169.0,18.0,22.0,133.0,0.73,80.0,6.866666666666666,165.0,10.283333333333333,10.283333333333333
2026-05-03,5,3,9.0,10.583333333333334,0,90.1,10.583333333333334,143.0,161.0,32.0,33.0,132.0,0.72,74.0,8.316666666666666,161.0,10.583333333333334,10.583333333333334
2026-05-10,5,10,9.0,7.35,1,79.36,7.35,174.0,179.0,0.0,2.0,161.0,0.84,90.0,6.85,165.0,7.35,7.35
2026-05-17,5,17,9.0,16.15,0,103.9,16.15,113.0,130.0,72.0,67.0,84.0,0.73,60.0,8.75,158.0,12.15,12.15
2026-05-24,5,24,9.0,13.05,0,105.64,13.05,121.0,156.0,4.0,2.0,117.0,0.66,62.0,7.8,161.0,13.05,13.05
2026-06-07,6,7,9.0,11.1,0,85.46,11.1,131.0,149.0,51.0,47.0,120.0,0.75,59.0,7.35,167.0,10.966666666666667,10.966666666666667
2026-06-10,6,10,9.0,8.7,0,91.72,8.7,135.0,147.0,5.0,5.0,144.0,0.8,66.0,5.633333333333334,177.0,8.7,8.7
2026-06-12,6,12,9.0,10.6,0,111.74,10.616666666666667,128.0,151.0,5.0,5.0,129.0,0.73,67.0,7.0,165.0,10.6,10.6
2026-06-14,6,14,9.0,14.25,0,101.02,14.25,122.0,141.0,57.0,53.0,90.0,0.78,66.0,7.166666666666667,167.0,11.016666666666667,11.016666666666667
2026-06-16,6,16,9.0,14.266666666666667,0,109.68,14.266666666666667,114.0,147.0,8.0,8.0,97.0,0.72,60.0,4.95,177.0,12.5,12.5
2026-06-18,6,18,9.0,11.383333333333333,0,94.62,11.383333333333333,120.0,149.0,38.0,34.0,104.0,0.85,59.0,5.833333333333333,241.0,11.383333333333333,11.383333333333333
2026-06-21,6,21,9.0,9.1,1,76.06,9.116666666666667,159.0,174.0,1.0,2.0,133.0,0.82,89.0,4.283333333333333,181.0,8.25,8.25
2026-04-30,4,30,10.0,23.033333333333335,0,128.58,23.016666666666666,114.0,128.0,42.0,39.0,47.0,0.93,65.0,4.983333333333333,235.0,10.566666666666666,10.566666666666666
2026-05-03,5,3,10.0,11.866666666666667,0,104.36,11.866666666666667,124.0,131.0,25.0,29.0,118.0,0.72,56.0,9.65,130.0,11.733333333333333,11.733333333333333
2026-05-10,5,10,10.0,8.2,1,89.2,8.2,170.0,178.0,3.0,2.0,148.0,0.82,95.0,6.85,165.0,7.966666666666667,7.966666666666667
2026-05-17,5,17,10.0,12.75,0,119.2,12.75,114.0,126.0,34.0,35.0,116.0,0.68,55.0,11.6,126.0,12.75,12.75
2026-05-24,5,24,10.0,12.916666666666666,0,121.14,12.916666666666666,114.0,122.0,35.0,19.0,111.0,0.7,56.0,10.2,125.0,12.916666666666666,12.916666666666666
2026-06-07,6,7,10.0,16.266666666666666,0,104.98,16.266666666666666,118.0,150.0,17.0,6.0,80.0,0.77,65.0,5.783333333333333,247.0,13.25,13.25
2026-06-10,6,10,10.0,14.366666666666667,0,108.96,14.366666666666667,111.0,144.0,7.0,6.0,105.0,0.66,59.0,7.666666666666667,161.0,14.15,14.15
2026-06-12,6,12,10.0,12.233333333333333,0,126.42,12.233333333333333,114.0,137.0,4.0,5.0,115.0,0.71,60.0,4.683333333333334,176.0,12.133333333333333,12.133333333333333
2026-06-14,6,14,10.0,10.983333333333333,0,114.2,10.983333333333333,124.0,142.0,10.0,5.0,126.0,0.72,60.0,6.816666666666666,170.0,10.983333333333333,10.983333333333333
2026-06-16,6,16,10.0,11.966666666666667,0,124.04,11.966666666666667,117.0,143.0,45.0,31.0,113.0,0.74,62.0,4.9,176.0,11.466666666666667,11.466666666666667
2026-06-18,6,18,10.0,11.233333333333333,0,108.1,11.233333333333333,124.0,153.0,47.0,48.0,116.0,0.77,63.0,5.633333333333334,217.0,11.166666666666666,11.166666666666666
2026-06-21,6,21,10.0,8.016666666666667,1,85.7,8.016666666666667,165.0,171.0,8.0,3.0,154.0,0.81,90.0,6.733333333333333,168.0,8.016666666666667,8.016666666666667
